,enmo,n,mg,temp,batt,light
2026-08-30 13:40:00,0.13223889726208035,1151,132.23889726208034,30.208333333333332,4.128255208333333,200.55555555555554
2026-08-30 13:41:00,0.11454906237981616,1500,114.54906237981616,29.349459134615383,4.131310096153846,198.30769230769232
2026-08-30 13:42:00,0.08215783924515818,1500,82.15783924515819,28.80859375,4.1328125,224.41666666666666
2026-08-30 13:43:00,0.18746379491575932,1502,187.4637949157593,28.267728365384617,4.136268028846154,221.6153846153846
2026-08-30 13:44:00,0.09886052084258065,1504,98.86052084258066,27.7099609375,4.13671875,205.33333333333334
2026-08-30 13:45:00,0.15003264061713373,1506,150.03264061713372,27.34375,4.13671875,210.07692307692307
2026-08-30 13:46:00,0.12703514710345942,1504,127.03514710345942,26.9775390625,4.13623046875,196.83333333333334
2026-08-30 13:47:00,0.05860882285245362,1506,58.60882285245362,27.005709134615383,4.13671875,196.3846153846154
2026-08-30 13:48:00,0.04869465938073869,1479,48.69465938073869,27.6611328125,4.13671875,196.25
2026-08-30 13:49:00,0.04428296390402904,1502,44.28296390402904,28.31280048076923,4.13671875,196.46153846153845
2026-08-30 13:50:00,0.048255227788440984,1500,48.25522778844098,28.955078125,4.13671875,196.25
2026-08-30 13:51:00,0.04319961606055007,1498,43.19961606055007,29.439603365384617,4.13671875,196.0
2026-08-30 13:52:00,0.026518078943100497,1500,26.518078943100498,29.5654296875,4.13671875,196.0
2026-08-30 13:53:00,0.0067592131208757825,1523,6.759213120875782,29.619891826923077,4.136268028846154,196.23076923076923
2026-08-30 13:54:00,0.00585967022612526,1498,5.85967022612526,29.6630859375,4.134765625,196.0
2026-08-30 13:55:00,0.006100500774410663,1498,6.100500774410663,29.710036057692307,4.136268028846154,196.0
2026-08-30 13:56:00,0.03223197559001737,1498,32.23197559001737,29.736328125,4.13623046875,195.83333333333334
2026-08-30 13:57:00,0.053031460157247516,1498,53.031460157247515,29.755108173076923,4.136268028846154,228.0
2026-08-30 13:58:00,0.01315267871854082,1498,13.15267871854082,29.7119140625,4.13671875,499.0
2026-08-30 13:59:00,0.028030747069231306,1498,28.030747069231307,29.822716346153847,4.136268028846154,199.30769230769232
2026-08-30 14:00:00,0.032120393154891534,1498,32.12039315489153,29.6875,4.13671875,196.16666666666666
2026-08-30 14:01:00,0.003567708081250069,1498,3.567708081250069,29.642427884615383,4.13671875,196.0
2026-08-30 14:02:00,0.011906123834923461,1498,11.906123834923461,29.5166015625,4.13623046875,196.0
2026-08-30 14:03:00,0.026485602000165254,1500,26.485602000165255,29.39453125,4.13671875,195.84615384615384
2026-08-30 14:04:00,0.05442674619912397,1500,54.426746199123976,29.248046875,4.13671875,196.33333333333334
2026-08-30 14:05:00,0.02426501128444615,1500,24.26501128444615,29.169170673076923,4.13671875,196.15384615384616
2026-08-30 14:06:00,0.03010954726580647,1500,30.10954726580647,29.1748046875,4.13671875,196.16666666666666
2026-08-30 14:07:00,0.04371652584609874,1498,43.71652584609874,29.146634615384617,4.13671875,198.92307692307693
2026-08-30 14:08:00,0.02380571984813459,1500,23.80571984813459,29.1015625,4.13671875,196.0
2026-08-30 14:09:00,0.03489569429853122,1500,34.89569429853122,29.1015625,4.13671875,208.3846153846154
2026-08-30 14:10:00,0.023826022435166398,1500,23.826022435166397,29.1015625,4.13671875,223.0
2026-08-30 14:11:00,0.04435820477064608,1500,44.35820477064608,29.079026442307693,4.13671875,196.3846153846154
2026-08-30 14:12:00,0.028602083571527482,1500,28.602083571527483,29.1015625,4.13671875,195.91666666666666
2026-08-30 14:13:00,0.029471442577593845,1500,29.471442577593844,29.50721153846154,4.13671875,195.92307692307693
2026-08-30 14:14:00,0.036175773644575034,1496,36.17577364457503,29.9072265625,4.13671875,195.91666666666666
2026-08-30 14:15:00,0.042933363997007354,1498,42.933363997007355,30.250901442307693,4.136268028846154,196.0
2026-08-30 14:16:00,0.03289138677536243,1496,32.89138677536243,30.37109375,4.13671875,248.33333333333334
2026-08-30 14:17:00,0.009316966920365249,1495,9.316966920365248,30.431189903846153,4.136268028846154,340.9230769230769
